1, 'http://game.youku.com/index/lol', 'game.youku.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
4, 'http://x.youku.com/tag/lists?t=207', 'x.youku.com', '英雄联盟', '', '', '', 'list', 1, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
5, 'http://i.youku.com/u/UMzQ1NDU3MjA4/videos', 'i.youku.com', '英雄联盟', '', '', '', 'list', 1, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
6, 'http://i.youku.com/u/UMzU3MjkzOTI0/videos', 'i.youku.com', '英雄联盟', '', '', '', 'list', 1, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
7, 'http://i.youku.com/u/UNTE0MjQyODM2/videos', 'i.youku.com', '英雄联盟', '', '', '', 'list', 1, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
8, 'http://i.youku.com/u/UMzk2ODA1OTY4/videos', 'i.youku.com', '英雄联盟', '', '', '', 'list', 1, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
9, 'http://i.youku.com/u/UNDE5MjgwMTc2/videos', 'i.youku.com', '英雄联盟', '', '', '', 'list', 1, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
10, 'http://i.youku.com/u/UNTUyNDMyODQ0/videos', 'i.youku.com', '英雄联盟', '', '', '', 'list', 1, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
11, 'http://i.youku.com/u/UMzY1NTQ1NTc2/videos/order_1_view_2_page_1_spg_10_stt_445_sid_78005335_sst_1318399303', 'i.youku.com', '英雄联盟', '', ' 小苍Estelle', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
12, 'http://www.tudou.com/list/labeltop_540_124.html', 'www.tudou.com', '英雄联盟', '', '', '', 'list', 1, 1, 1, 'testuser', '2014-07-09 00:00:00', 'toget');
13, 'http://www.tudou.com/home/tudoulol/', 'www.tudou.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
14, 'http://www.soku.com/t/nisearch/%E8%8B%B1%E9%9B%84%E8%81%94%E7%9B%9Flol', 'www.soku.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
15, 'http://www.soku.com/t/npsearch/LOL/', 'www.soku.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
16, 'http://www.tudou.com/plcover/LNOKT0LNth8/', 'www.tudou.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
17, 'http://www.tudou.com/plcover/ZojvI5VyPOE/', 'www.tudou.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
18, 'http://www.tudou.com/plcover/UrY1Rui420g/', 'www.tudou.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
19, 'http://www.tudou.com/plcover/nc1u75nK2gc/', 'www.tudou.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
20, 'http://www.tudou.com/plcover/l8tzgJ8HLyQ/', 'www.tudou.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
21, 'http://www.tudou.com/plcover/JxdvmOsImps/', 'www.tudou.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
22, 'http://www.tudou.com/plcover/4whQrP5bgrA/', 'www.tudou.com', '英雄联盟', '', '', '周边动画', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
23, 'http://www.tudou.com/plcover/dFp9eteQ550/', 'www.tudou.com', '英雄联盟', '', '大兵雷恩', '教学', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
24, 'http://v.tudou.com/D8TVCOM/item', 'v.tudou.com', '英雄联盟', '', '', '', 'list', 1, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
25, 'http://www.tudou.com/plcover/O99-nWMJH-c/', 'www.tudou.com', '英雄联盟', '', 'D8TV', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
26, 'http://www.tudou.com/plcover/LTAh8OzsbZk/', 'www.tudou.com', '英雄联盟', '', 'D8TV', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
27, 'http://www.tudou.com/plcover/n5c8CaROXRI/', 'www.tudou.com', '英雄联盟', '', 'D8TV', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
